"VagrantIDNumber","GenderofLeadVagrant","RelationshiptoLeadVagrant","NumberofPeopleinGroup","PersonType","VagrantCategory","SessionStartYear","SessionStartMonth","SettlementCounty","SettlementCountry"
"2169.5.6","[unknown]","[Child]",6,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2169.6.6","[unknown]","[Child]",6,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"217.1.1","F","[lead vagrant]",1,"Single Female","Passing Vagrant",1778,2,"Surrey","England"
"2170.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Bristol","England"
"2170.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Bristol","England"
"2170.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Bristol","England"
"2171.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2172.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Carlow","Ireland"
"2173.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2174.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Yorkshire","England"
"2174.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Yorkshire","England"
"2174.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Yorkshire","England"
"2175.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Warwickshire","England"
"2176.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Galway","Ireland"
"2177.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2178.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Herefordshire","England"
"2179.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Buckinghamshire","England"
"218.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1778,2,"Middlesex","England"
"2180.1.3","F","[lead vagrant]",3,"Group Leader","Passing Vagrant",1781,7,"Kent","England"
"2180.2.3","[unknown]","[Child]",3,"Dependent","Passing Vagrant",1781,7,"Kent","England"
"2180.3.3","[unknown]","[Child]",3,"Dependent","Passing Vagrant",1781,7,"Kent","England"
"2181.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2182.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Londonderry","Ireland"
"2182.2.2","F","[Wife]",2,"Dependent","City Vagrant",1781,7,"Londonderry","Ireland"
"2183.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2184.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2185.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Galway","Ireland"
"2186.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Durham","England"
"2187.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cumberland","England"
"2188.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Nottinghamshire","England"
"2189.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"219.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1778,2,"Norfolk","England"
"219.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1778,2,"Norfolk","England"
"2190.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Wexford","Ireland"
"2191.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2192.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Yorkshire","England"
"2193.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2194.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Oxfordshire","England"
"2195.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Oxfordshire","England"
"2196.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Wexford","Ireland"
"2197.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2198.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Longford","Ireland"
"2199.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"22.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1777,12,"Wiltshire","England"
"220.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1778,2,"Dublin","Ireland"
"2200.1.3","F","[lead vagrant]",3,"Group Leader","Passing Vagrant",1781,7,"Hampshire","England"
"2200.2.3","[unknown]","[Child]",3,"Dependent","Passing Vagrant",1781,7,"Hampshire","England"
"2200.3.3","[unknown]","[Child]",3,"Dependent","Passing Vagrant",1781,7,"Hampshire","England"
"2201.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2202.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2203.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Roscommon","Ireland"
"2204.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2205.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"[unknown]","Ireland"
"2206.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"[unknown]","Scotland"
"2207.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1781,7,"Yorkshire","England"
"2208.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1781,7,"Kent","England"
"2209.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Waterford","Ireland"
"221.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1778,2,"Staffordshire","England"
"2210.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Bristol","England"
"2211.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1781,7,"Carmarthenshire","Wales"
"2212.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Somerset","England"
"2213.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Warwickshire","England"
"2213.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Warwickshire","England"
"2213.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Warwickshire","England"
"2214.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Essex","England"
"2215.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Worcestershire","England"
"2216.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Galway","Ireland"
"2216.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1781,7,"Galway","Ireland"
"2217.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Dublin","Ireland"
"2217.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Dublin","Ireland"
"2217.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Dublin","Ireland"
"2218.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Yorkshire","England"
"2219.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Surrey","England"
"222.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1778,2,"Bristol","England"
"222.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1778,2,"Bristol","England"
"222.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1778,2,"Bristol","England"
"2220.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2221.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Devon","England"
"2222.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Somerset","England"
"2223.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Staffordshire","England"
"2224.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2225.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Midlothian","Scotland"
"2226.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Bristol","England"
"2227.1.2","M","[lead vagrant]",2,"Group Leader","Passing Vagrant",1781,7,"Devon","England"
"2227.2.2","F","[Wife]",2,"Dependent","Passing Vagrant",1781,7,"Devon","England"
"2228.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2229.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Northumberland","England"
"223.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1778,2,"Warwickshire","England"
"223.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1778,2,"Warwickshire","England"
"2230.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1781,7,"Essex","England"
"2230.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1781,7,"Essex","England"
"2231.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Stirlingshire","Scotland"
"2232.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Yorkshire","England"
"2233.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2234.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Cork","Ireland"
"2235.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Kirkcudbrightshire","Scotland"
"2236.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Somerset","England"
"2237.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Staffordshire","England"
"2238.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Galway","Ireland"
"2239.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Lancashire","England"
"224.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1778,2,"Essex","England"
"2240.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Limerick","Ireland"
"2241.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Yorkshire","England"
"2242.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Cork","Ireland"
"2243.1.3","M","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Wiltshire","England"
"2243.2.3","[unknown]","[Wife]",3,"Dependent","City Vagrant",1781,7,"Wiltshire","England"
"2243.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Wiltshire","England"
"2244.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"[unknown]","Scotland"
"2245.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2246.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Warwickshire","England"
"2247.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Clare","Ireland"
"2248.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Lancashire","England"
"2249.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"225.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1778,2,"Bristol","England"
"2250.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Buckinghamshire","England"
"2251.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2252.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Bristol","England"
"2253.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Denbighshire","Wales"
"2254.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Pembrokeshire","Wales"
"2254.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Pembrokeshire","Wales"
"2254.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Pembrokeshire","Wales"
"2255.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Bristol","England"
"2255.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1781,7,"Bristol","England"
"2256.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Tyrone","Ireland"
"2256.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1781,7,"Tyrone","Ireland"
"2257.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Cumberland","England"
"2258.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Kent","England"
"2259.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Nottinghamshire","England"
"226.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1778,2,"Shropshire","England"
"2260.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Dublin","Ireland"
"2260.2.2","F","[Wife]",2,"Dependent","City Vagrant",1781,7,"Dublin","Ireland"
"2261.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2262.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Midlothian","Scotland"
"2263.1.3","F","[lead vagrant]",3,"Group Leader","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2263.2.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2263.3.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2264.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Limerick","Ireland"
"2265.1.4","F","[lead vagrant]",4,"Group Leader","Middlesex Vagrant",1781,7,"Warwickshire","England"
"2265.2.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1781,7,"Warwickshire","England"
"2265.3.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1781,7,"Warwickshire","England"
"2265.4.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1781,7,"Warwickshire","England"
"2266.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1781,7,"Surrey","England"
"2267.1.1","[unknown]","[lead vagrant]",1,"Unknown Solo","City Vagrant",1781,7,"Cardiganshire","Wales"
"2268.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Anglesey","Wales"
"2269.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1781,7,"Herefordshire","England"
"227.1.3","F","[lead vagrant]",3,"Group Leader","Westminster Vagrant",1778,2,"Cork","Ireland"
"227.2.3","[unknown]","[Child]",3,"Dependent","Westminster Vagrant",1778,2,"Cork","Ireland"
"227.3.3","[unknown]","[Child]",3,"Dependent","Westminster Vagrant",1778,2,"Cork","Ireland"
"2270.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2271.1.3","M","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Down","Ireland"
"2271.2.3","[unknown]","[Wife]",3,"Dependent","City Vagrant",1781,7,"Down","Ireland"
"2271.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Down","Ireland"
"2272.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1781,7,"Westmoreland","England"
"2273.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2274.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Donegal","Ireland"
"2275.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Limerick","Ireland"
"2276.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Meath","Ireland"
"2277.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2278.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Lancashire","England"
"2279.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"228.1.2","M","[lead vagrant]",2,"Group Leader","Westminster Vagrant",1778,2,"Pembrokeshire","Wales"
"228.2.2","[unknown]","[Child]",2,"Dependent","Westminster Vagrant",1778,2,"Pembrokeshire","Wales"
"2280.1.2","F","[lead vagrant]",2,"Group Leader","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2280.2.2","[unknown]","[Child]",2,"Dependent","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2281.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Bristol","England"
"2282.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1781,7,"Cork [struck out]","Ireland"
"2283.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Surrey","England"
"2284.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1781,7,"Suffolk","England"
"2285.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1781,7,"Somerset","England"
"2286.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"[unknown]","Ireland"
"2287.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Dorset","England"
"2288.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Midlothian","Scotland"
"2288.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1781,7,"Midlothian","Scotland"
"2289.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Devon","England"
"229.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1778,2,"Yorkshire","England"
"2290.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Durham","England"
"2291.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Somerset","England"
"2292.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Queen's County","Ireland"
"2293.1.3","M","[lead vagrant]",3,"Group Leader","City Vagrant",1781,7,"Denbighshire","Wales"
"2293.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Denbighshire","Wales"
"2293.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1781,7,"Denbighshire","Wales"
"2294.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Northamptonshire","England"
"2295.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Bristol","England"
"2296.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2297.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Cavan","Ireland"
"2297.2.2","F","[Wife]",2,"Dependent","City Vagrant",1781,7,"Cavan","Ireland"
"2298.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Yorkshire","England"
"2299.1.2","F","[lead vagrant]",2,"Group Leader","Westminster Vagrant",1781,7,"Aberdeenshire","Scotland"
"2299.2.2","[unknown]","[Child]",2,"Dependent","Westminster Vagrant",1781,7,"Aberdeenshire","Scotland"
"23.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1777,12,"[unknown]","Ireland"
"230.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1778,2,"Somerset","England"
"2300.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Somerset","England"
"2301.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2302.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"[unknown]","Ireland"
"2303.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Norfolk","England"
"2304.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cavan","Ireland"
"2305.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Leicestershire","England"
"2306.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2307.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2308.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Lancashire","England"
"2309.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Inverness-shire","Scotland"
"231.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1778,2,"Perthshire","Scotland"
"2310.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Cumberland","England"
"2311.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Devon","England"
"2312.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2313.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2314.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"[unknown]","Scotland"
"2315.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Donegal","Ireland"
"2316.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Devon","England"
"2317.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2318.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2319.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Longford","Ireland"
"232.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1778,2,"Cambridgeshire","England"
"2320.1.4","M","[lead vagrant]",4,"Group Leader","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2320.2.4","F","[Wife]",4,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2320.3.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2320.4.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1781,7,"Dublin","Ireland"
"2321.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Tipperary","Ireland"
"2322.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"West Lothian","Scotland"
"2323.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2324.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1781,7,"[unknown]","Ireland"
"2324.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1781,7,"[unknown]","Ireland"
"2325.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1781,7,"[unknown]","Ireland"
"2326.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2327.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cork","Ireland"
"2328.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Londonderry","Ireland"
"2329.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Northumberland","England"
"233.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1778,2,"[unknown]","Ireland"
"2330.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1781,7,"Limerick","Ireland"
"2331.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Suffolk","England"
"2332.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Meath","Ireland"
"2333.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2334.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Yorkshire","England"
"2335.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Somerset","England"
"2336.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"[unknown]","Ireland"
"2337.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Westmeath","Ireland"
"2338.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Longford","Ireland"
"2339.1.2","F","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Kent","England"
"2339.2.2","[unknown]","[Child]",2,"Dependent","City Vagrant",1781,7,"Kent","England"
"234.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1778,2,"Dublin","Ireland"
"2340.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2341.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Wiltshire","England"
"2342.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Armagh","Ireland"
"2343.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Galway","Ireland"
"2344.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Kilkenny","Ireland"
"2345.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Clare","Ireland"
"2346.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Dublin","Ireland"
"2347.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Antrim","Ireland"
"2348.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1781,7,"Middlesex","England"
"2349.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Staffordshire","England"
"235.1.2","F","[lead vagrant]",2,"Group Leader","Passing Vagrant",1778,2,"Somerset","England"
"235.2.2","[unknown]","[Child]",2,"Dependent","Passing Vagrant",1778,2,"Somerset","England"
"2350.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1781,7,"Northumberland","England"
"2351.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1781,7,"Brecknockshire","Wales"
"2352.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1781,7,"Radnorshire","Wales"
"2352.2.2","F","[Wife]",2,"Dependent","City Vagrant",1781,7,"Radnorshire","Wales"
"2353.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Shropshire","England"
"2354.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1781,7,"Cheshire","England"
"2355.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1781,7,"Donegal","Ireland"
"2356.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1781,7,"Donegal","Ireland"
"2357.1.1","F","[lead vagrant]",1,"Single Female","Passing Vagrant",1781,7,"Kent","England"
"2358.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1781,7,"Suffolk","England"
"2358.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1781,7,"Suffolk","England"
"2359.1.3","M","[lead vagrant]",3,"Group Leader","Westminster Vagrant",1781,7,"Norfolk","England"
"2359.2.3","[unknown]","[Child]",3,"Dependent","Westminster Vagrant",1781,7,"Norfolk","England"
"2359.3.3","[unknown]","[Child]",3,"Dependent","Westminster Vagrant",1781,7,"Norfolk","England"
"236.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1778,2,"Gloucestershire","England"
